k,a,b,m,f_a,f_b,f_m,b-a
0,-4,-3,-3.5,3.6663843056259484,-13.653116107378096,-3.2398094571549176,1
1,-4,-3.5,-3.75,3.6663843056259484,-3.2398094571549176,0.5494256355158562,0.5
2,-3.75,-3.5,-3.625,0.5494256355158562,-3.2398094571549176,-1.2503392880417454,0.25
3,-3.75,-3.625,-3.6875,0.5494256355158562,-1.2503392880417454,-0.32820211823186796,0.125
4,-3.75,-3.6875,-3.71875,0.5494256355158562,-0.32820211823186796,0.11600294298958325,0.0625
5,-3.71875,-3.6875,-3.703125,0.11600294298958325,-0.32820211823186796,-0.10473065038923224,0.03125
6,-3.71875,-3.703125,-3.7109375,0.11600294298958325,-0.10473065038923224,0.005975712138249989,0.015625
7,-3.7109375,-3.703125,-3.70703125,0.005975712138249989,-0.10473065038923224,-0.04929224573529467,0.0078125
8,-3.7109375,-3.70703125,-3.708984375,0.005975712138249989,-0.04929224573529467,-0.021637002543625883,0.00390625
9,-3.7109375,-3.708984375,-3.7099609375,0.005975712138249989,-0.021637002543625883,-0.00782533432916388,0.001953125
10,-3.7109375,-3.7099609375,-3.71044921875,0.005975712138249989,-0.00782533432916388,-0.0009234840252982934,0.0009765625
11,-3.7109375,-3.71044921875,-3.710693359375,0.005975712138249989,-0.0009234840252982934,0.002526445743024297,0.00048828125
12,-3.710693359375,-3.71044921875,-3.7105712890625,0.002526445743024297,-0.0009234840252982934,0.0008015637906222395,0.000244140625
13,-3.7105712890625,-3.71044921875,-3.71051025390625,0.0008015637906222395,-0.0009234840252982934,-6.093938313078695e-05,0.0001220703125
14,-3.7105712890625,-3.71051025390625,-3.710540771484375,0.0008015637906222395,-6.093938313078695e-05,0.0003703173871389964,6.103515625e-05
